time,event_type,bot_id,rack_id,stop_index,exit_id,leg_type,from_node,to_node,travel_start,travel_end,distance_m,n_turns,travel_time_s,queue_delay_s,service_start,service_end,release_time_s,n_os_stop,n_os,n_stops,trip_start,trip_end,trip_duration_s,travel_distance_total,travel_time_total,queue_time_total,release_time_total,cycle_time_total
2966.5,exit_stop_service,BOT_14,RACK_534,1.0,EXIT_21,,,,,,,,,0.0,2960.5,2966.5,6.0,1.0,,,,,,,,,,
2970.5,travel_leg,BOT_9,RACK_516,1.0,EXIT_32,receiving_to_first_exit,receiving,EXIT_32,2831.5,2970.5,108.00000000000003,2.0,139.00000000000003,,,,,,,,,,,,,,,
2971.5,travel_leg,BOT_28,RACK_526,1.0,EXIT_26,receiving_to_first_exit,receiving,EXIT_26,2888.0,2971.5,63.599999999999994,2.0,83.49999999999999,,,,,,,,,,,,,,,
2971.75,return_leg,BOT_7,RACK_524,1.0,EXIT_22,last_exit_to_return,EXIT_22,return,2923.5,2971.75,33.8,3.0,48.24999999999999,,,,,,,,,,,,,,,
2971.75,exit_stop_service,BOT_29,RACK_518,1.0,EXIT_31,,,,,,,,,0.0,2965.75,2971.75,6.0,1.0,,,,,,,,,,
2971.75,trip_completed,BOT_7,RACK_524,,,,,,,,,,,,,,,,1.0,1.0,2871.0,2971.75,100.75,67.8,94.75,0.0,6.0,100.75
2973.0,travel_leg,BOT_31,RACK_527,1.0,EXIT_26,receiving_to_first_exit,receiving,EXIT_26,2889.5,2973.0,63.599999999999994,2.0,83.49999999999999,,,,,,,,,,,,,,,
2975.625,return_leg,BOT_26,RACK_522,1.0,EXIT_5,last_exit_to_return,EXIT_5,return,2920.125,2975.625,39.6,3.0,55.5,,,,,,,,,,,,,,,
2975.625,trip_completed,BOT_26,RACK_522,,,,,,,,,,,,,,,,1.0,1.0,2863.5,2975.625,112.125,76.9,106.125,0.0,6.0,112.125
2976.5,exit_stop_service,BOT_9,RACK_516,1.0,EXIT_32,,,,,,,,,0.0,2970.5,2976.5,6.0,1.0,,,,,,,,,,
2976.75,return_leg,BOT_25,RACK_502,1.0,EXIT_28,last_exit_to_return,EXIT_28,return,2873.0,2976.75,78.2,3.0,103.75,,,,,,,,,,,,,,,
2976.75,trip_completed,BOT_25,RACK_502,,,,,,,,,,,,,,,,1.0,1.0,2765.0,2976.75,211.75,156.60000000000002,205.75,0.0,6.0,211.75
2977.5,exit_stop_service,BOT_28,RACK_526,1.0,EXIT_26,,,,,,,,,0.0,2971.5,2977.5,6.0,1.0,,,,,,,,,,
2978.125,travel_leg,BOT_23,RACK_523,1.0,EXIT_14,receiving_to_first_exit,receiving,EXIT_14,2864.5,2978.125,87.69999999999999,2.0,113.62499999999999,,,,,,,,,,,,,,,
2980.75,travel_leg,BOT_22,RACK_521,1.0,EXIT_31,receiving_to_first_exit,receiving,EXIT_31,2851.0,2980.75,100.60000000000002,2.0,129.75000000000003,,,,,,,,,,,,,,,
2983.5,exit_stop_service,BOT_31,RACK_527,1.0,EXIT_26,,,,,,,,,4.5,2977.5,2983.5,6.0,1.0,,,,,,,,,,
2984.125,exit_stop_service,BOT_23,RACK_523,1.0,EXIT_14,,,,,,,,,0.0,2978.125,2984.125,6.0,1.0,,,,,,,,,,
